Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received,Player,Club,League,Group,Cluster
0.8628517324153117,-0.2953033629489676,0.5197196010683646,0.8437616489518303,0.47571305269404934,0.927728204146853,0.24497568336145759,0.7977704298291332,0.9147056191676939,0.7708516355852424,1.3174471537783004,-0.6406504126150581,1.3431002424747394,Matthis Abline,Nantes,Ligue 1,Attacker,3
0.5186219539048555,1.986165519268227,1.2522058836895136,0.1418415411551633,1.0794255793896654,2.646804100222435,0.7325502936276443,2.2876243450813893,2.1122824785897083,1.9071767039094623,-0.9406983881464099,-1.0863448002157476,-0.09900946823007496,Tammy Abraham,Milan,Serie A,Attacker,1
0.633365213408341,-0.1961090637221331,0.3904573158999267,0.7799507300612241,0.47571305269404934,1.4566746337085703,-0.242598926904729,0.9964176185294339,1.7380397100203289,1.1496266583599823,-0.8395873937318706,-1.4915215162163746,-0.4451157987992304,Akor Adams,Montpellier,Ligue 1,Attacker,1
0.9775949919187973,0.002279534731536072,0.7351567430157612,1.1628162434048606,0.8472284537375052,1.1260831152324968,-0.3644925794712756,0.6487850383039074,1.1392512803093218,0.6626302005067451,-0.4351434160737136,-0.8027210990153089,1.112362688761969,Che Adams,Torino,Serie A,Attacker,1
-0.11246597336431456,0.2006681331852051,-0.04041696799486669,-0.04959121551665492,0.011318801389729209,1.1922014189277117,0.48876298849455113,1.0957412128795845,1.4386454951648253,1.2578480934384797,-0.9406983881464099,-1.3294508298161238,0.11730698837564718,Junior Adamu,Freiburg,Bundesliga,Attacker,3
1.7234261786914526,2.7797199130829036,2.501741306984414,1.9923581889827395,2.7512448840852177,1.3244380263181412,3.414210650091671,2.38694793943154,1.5883426025925773,2.6647267494589424,1.0815215001443754,-1.045827128615685,1.112362688761969,Karim Adeyemi,Dortmund,Bundesliga,Attacker,2
0.11702054564265639,0.5974453300925434,0.3904573158999267,0.20565246004576943,0.47571305269404934,0.3987817745851354,1.220124903893831,0.7977704298291332,0.5404628505983143,0.9331837882029882,0.4748555336571398,-1.2484154866159984,0.8672040379421506,Simon Adingra,Brighton,Premier League,Attacker,3
0.11702054564265639,-0.49369196140263677,-0.08350439638434606,0.20565246004576943,-0.03512062374070284,0.20042686349949132,1.3420185564603775,0.6984468354789827,0.31591718945668656,0.824962353124491,0.575966528071679,-0.9647917854155597,0.46341331894480264,Oladapo Afolayan,St. Pauli,Bundesliga,Attacker,3
1.8955410679466809,-0.2953033629489676,1.295293312078993,2.1837909456545574,1.4509409804331217,1.5889112410989998,0.123082030794911,1.2447266044048098,1.663191156306453,1.2578480934384797,-0.8732910585367171,-0.7824622632152776,0.6941508726575729,Ludovic Ajorque,Brest,Ligue 1,Attacker,1
0.28913543489788457,2.680525613856069,1.3814681688579515,0.1418415411551633,1.3580621301722575,1.3905563300133554,2.073380471859658,1.8903299676807876,1.4386454951648253,1.9612874214487108,3.070037723630314,1.89170406238886,2.1651027775764837,Maghnes Akliouche,Monaco,Ligue 1,Attacker,2
0.11702054564265639,-0.1961090637221331,0.0026704603946125656,0.20565246004576943,0.05775822652016113,0.46490007828034996,0.24497568336145759,0.4501378496036066,0.6153114043121901,0.5544087654282481,0.6433738576813719,-1.0053094570156222,0.0019382115192620346,Musa Al-Taamari,Montpellier,Ligue 1,Attacker,3
1.0923382514222828,0.29986243241203975,0.9505938849631581,1.2904380811860727,1.0794255793896654,1.0599648115372822,0.8544439461941912,1.1454030100546595,1.2889483877370733,1.311958810977728,1.7892984610461502,-1.167380143415873,1.3575213395817876,Alfon,Celta Vigo,La Liga,Attacker,2
-0.5140673816265137,0.49825103086570877,-0.12659182477382544,-0.4962676477508974,-0.0815600488711349,0.5310183819755647,0.36686933592800436,0.5494614439537568,0.6901599580260661,0.6626302005067451,0.7107811872910648,-0.6406504126150581,0.3336234449813693,Jim Allevinah,Angers,Ligue 1,Attacker,3
-0.34195249237128544,-0.1961090637221331,-0.34202896672122207,-0.3048348910790792,-0.3137571745232949,0.20042686349949132,0.123082030794911,0.20182886372823058,0.31591718945668656,0.28385517773200536,0.2052262152183684,-1.3699685014161864,0.13172808548269532,Pontus Almqvist,Parma,Serie A,Attacker,3
1.2644531406775108,2.283748416948731,1.9416047379211825,1.0351944056236482,1.8224563814765775,1.1922014189277117,0.6106566410610976,1.0957412128795845,0.9895541728815699,0.9872945057422365,1.5196691426073787,-0.37728554721465063,2.42468252550335,Mohamed Amoura,Wolfsburg,Bundesliga,Attacker,2
-0.34195249237128544,0.49825103086570877,-0.04041696799486669,-0.3048348910790792,0.011318801389729209,0.3987817745851354,-0.4863862320378224,0.15216706655315532,0.5404628505983143,0.2297444601927567,-0.8395873937318706,-1.288933158216061,-0.5316423814415193,Marcos André,Valladolid,La Liga,Attacker,3
-0.8009255303852273,-0.09691476449529858,-0.6436409654475774,-0.8153222422039278,-0.638833150436319,-0.394637869757441,0.0011883782283643861,-0.3444509051975969,-0.3577197939681968,-0.3113627151997291,-0.030699438415556533,-1.045827128615685,-0.18553605087236383,Antoniu,Espanyol,La Liga,Attacker,3
1.0923382514222828,0.29986243241203975,0.9505938849631581,1.2904380811860727,1.0794255793896654,0.33266347088992065,1.5858058615934711,0.8970940241792834,0.46561429688443834,1.0414052232814852,1.9578167850703823,-0.2557325324144626,1.1700470771901617,Antony,Betis,La Liga,Attacker,2
