Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Amine Gouiri,Marseille,Ligue 1,Attacker,0.86,0.26,1.12,0.86,1.12,0.73,0.31,1.04,0.73,1.04,17,20,97
Jeffrey Gouweleeuw,Augsburg,Bundesliga,Defender,0.03,0.12,0.15,0.03,0.15,0.05,0.07,0.12,0.03,0.1,24,142,19
Jonathan Gradit,Lens,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,18,127,4
Alberto Grassi,Empoli,Serie A,Midfielder,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,18,74,24
Ryan Gravenberch,Liverpool,Premier League,Midfielder,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,70,181,55
Archie Gray,Tottenham,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,7,40,17
Jacob Greaves,Ipswich Town,Premier League,Defender,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,11,69,11
Mason Greenwood,Marseille,Ligue 1,Attacker,0.67,0.16,0.83,0.45,0.61,0.52,0.18,0.71,0.29,0.48,126,157,295
Antoine Griezmann,Atlético Madrid,La Liga,Attacker,0.29,0.26,0.55,0.26,0.51,0.27,0.26,0.53,0.21,0.47,46,143,177
Vincenzo Grifo,Freiburg,Bundesliga,Attacker,0.3,0.41,0.7,0.3,0.7,0.29,0.26,0.55,0.21,0.46,58,128,147
Álex Grimaldo,Leverkusen,Bundesliga,Defender,0.07,0.24,0.31,0.07,0.31,0.09,0.28,0.36,0.09,0.36,86,160,252
Pascal Groß,Dortmund,Bundesliga,Midfielder,0.0,0.35,0.35,0.0,0.35,0.09,0.2,0.29,0.09,0.29,41,178,122
Marco Grüll,Werder Bremen,Bundesliga,Attacker,0.46,0.08,0.53,0.46,0.53,0.3,0.14,0.44,0.3,0.44,24,38,93
Nemanja Gudelj,Sevilla,La Liga,Midfielder,0.04,0.04,0.07,0.0,0.04,0.06,0.02,0.08,0.03,0.05,14,64,5
Gabriel Gudmundsson,Lille,Ligue 1,Defender,0.1,0.0,0.1,0.1,0.1,0.04,0.07,0.11,0.04,0.11,71,91,115
Gonçalo Guedes,Wolves,Premier League,Midfielder,0.18,0.36,0.54,0.18,0.54,0.29,0.11,0.4,0.29,0.4,41,40,79
Mattéo Guendouzi,Lazio,Serie A,Midfielder,0.03,0.08,0.11,0.03,0.11,0.04,0.09,0.13,0.04,0.13,89,316,64
Javier Guerra,Valencia,La Liga,Midfielder,0.1,0.1,0.21,0.1,0.21,0.08,0.11,0.19,0.08,0.19,50,137,84
Raphaël Guerreiro,Bayern Munich,Bundesliga,Defender,0.23,0.23,0.46,0.23,0.46,0.16,0.17,0.33,0.16,0.33,39,85,126
Evann Guessand,Nice,Ligue 1,Attacker,0.42,0.28,0.7,0.42,0.7,0.32,0.19,0.51,0.32,0.51,87,79,162
Ander Guevara,Alavés,La Liga,Midfielder,0.0,0.05,0.05,0.0,0.05,0.04,0.03,0.07,0.04,0.07,14,112,19
Pape Gueye,Villarreal,La Liga,Midfielder,0.16,0.0,0.16,0.16,0.16,0.14,0.04,0.18,0.14,0.18,36,156,69
Idrissa Gana Gueye,Everton,Premier League,Midfielder,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.08,0.03,0.08,27,145,27
Morgan Guilavogui,St. Pauli,Bundesliga,Attacker,0.3,0.1,0.4,0.3,0.4,0.36,0.1,0.45,0.36,0.45,42,41,135
Frederic Guilbert,Lecce,Serie A,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.07,0.08,0.01,0.08,48,88,45
Bruno Guimarães,Newcastle Utd,Premier League,Midfielder,0.14,0.17,0.3,0.14,0.3,0.12,0.17,0.29,0.12,0.29,64,271,96
Serhou Guirassy,Dortmund,Bundesliga,Attacker,0.73,0.14,0.87,0.62,0.76,0.79,0.14,0.92,0.68,0.81,25,43,128
Jon Guridi,Alavés,La Liga,Midfielder,0.13,0.04,0.17,0.09,0.13,0.18,0.05,0.23,0.15,0.2,27,79,90
Gorka Guruzeta,Athletic Club,La Liga,Attacker,0.34,0.1,0.44,0.34,0.44,0.33,0.07,0.4,0.32,0.4,8,31,64
Malo Gusto,Chelsea,Premier League,Defender,0.0,0.05,0.05,0.0,0.05,0.08,0.07,0.15,0.08,0.15,50,119,85
Miguel Gutiérrez,Girona,La Liga,Defender,0.04,0.18,0.22,0.04,0.22,0.06,0.15,0.21,0.06,0.21,63,103,199
Marc Guéhi,Crystal Palace,Premier League,Defender,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,22,134,10
Albert Guðmundsson,Fiorentina,Serie A,Attacker,0.42,0.07,0.49,0.28,0.35,0.32,0.13,0.45,0.21,0.34,35,37,59
Joško Gvardiol,Manchester City,Premier League,Defender,0.14,0.0,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,91,264,121
Emmanuel Gyasi,Empoli,Serie A,Defender,0.06,0.03,0.08,0.06,0.08,0.11,0.02,0.13,0.11,0.13,22,53,108
Sergio Gómez,Real Sociedad,La Liga,Midfielder,0.07,0.16,0.23,0.07,0.23,0.06,0.29,0.35,0.06,0.35,43,93,154
Unai Gómez,Athletic Club,La Liga,Midfielder,0.07,0.21,0.28,0.07,0.28,0.13,0.06,0.19,0.13,0.19,19,23,49
Mario Götze,Eint Frankfurt,Bundesliga,Midfielder,0.18,0.12,0.29,0.18,0.29,0.17,0.18,0.35,0.17,0.35,29,88,96
Arda Güler,Real Madrid,La Liga,Midfielder,0.22,0.29,0.5,0.22,0.5,0.24,0.32,0.56,0.24,0.56,34,93,86
İlkay Gündoğan,Manchester City,Premier League,Midfielder,0.04,0.24,0.28,0.04,0.28,0.13,0.14,0.27,0.13,0.27,64,127,96
Christian Günter,Freiburg,Bundesliga,Defender,0.08,0.08,0.16,0.08,0.16,0.03,0.1,0.13,0.02,0.12,19,52,109
Erling Haaland,Manchester City,Premier League,Attacker,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,24,20,124
Janik Haberer,Union Berlin,Bundesliga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,13,59,22
Robin Hack,Gladbach,Bundesliga,Attacker,0.17,0.29,0.46,0.17,0.46,0.22,0.15,0.38,0.22,0.38,51,95,141
Amadou Haidara,RB Leipzig,Bundesliga,Midfielder,0.0,0.07,0.07,0.0,0.07,0.09,0.06,0.15,0.09,0.15,7,65,24
Antoine Hainaut,Parma,Serie A,Defender,0.15,0.0,0.15,0.15,0.15,0.06,0.08,0.14,0.06,0.14,22,34,37
Achraf Hakimi,Paris S-G,Ligue 1,Defender,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4,93,183,273
Lewis Hall,Newcastle Utd,Premier League,Defender,0.0,0.16,0.16,0.0,0.16,0.02,0.18,0.19,0.02,0.19,41,123,80
Andreas Hanche-Olsen,Mainz 05,Bundesliga,Defender,0.07,0.07,0.14,0.07,0.14,0.06,0.02,0.08,0.06,0.08,2,34,5
Florent Hanin,Angers,Ligue 1,Defender,0.03,0.07,0.1,0.03,0.1,0.03,0.06,0.1,0.03,0.1,48,99,108
Ridgeciano Haps,Venezia,Serie A,Defender,0.07,0.07,0.13,0.07,0.13,0.08,0.05,0.13,0.08,0.13,26,52,47
Hákon Arnar Haraldsson,Lille,Ligue 1,Midfielder,0.26,0.15,0.41,0.26,0.41,0.19,0.14,0.34,0.19,0.34,52,102,143
Phil Harres,Holstein Kiel,Bundesliga,Attacker,0.47,0.06,0.52,0.47,0.52,0.34,0.07,0.42,0.34,0.42,12,16,71
Jack Harrison,Everton,Premier League,Attacker,0.04,0.0,0.04,0.04,0.04,0.15,0.16,0.31,0.15,0.31,73,51,127
Taylor Harwood-Bellis,Southampton,Premier League,Defender,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,29,125,9
Hans Hateboer,Rennes,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,28,92,63
Kai Havertz,Arsenal,Premier League,Attacker,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,35,61,113
Massadio Haïdara,Brest,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,44,77,76
Jan Paul van Hecke,Brighton,Premier League,Defender,0.03,0.03,0.06,0.03,0.06,0.04,0.05,0.09,0.04,0.09,55,228,5
Þórir Jóhann Helgason,Lecce,Serie A,Midfielder,0.0,0.31,0.31,0.0,0.31,0.09,0.09,0.18,0.09,0.18,20,38,58
Liam Henderson,Empoli,Serie A,Midfielder,0.0,0.15,0.15,0.0,0.15,0.03,0.15,0.17,0.03,0.17,18,108,54
Ramon Hendriks,Stuttgart,Bundesliga,Defender,0.0,0.08,0.08,0.0,0.08,0.04,0.08,0.12,0.04,0.12,8,36,22
Benjamin Henrichs,RB Leipzig,Bundesliga,Defender,0.0,0.19,0.19,0.0,0.19,0.05,0.14,0.18,0.04,0.18,9,29,55
Luis Henrique,Marseille,Ligue 1,Defender,0.24,0.24,0.48,0.24,0.48,0.14,0.14,0.29,0.14,0.29,84,143,280
Hernani,Parma,Serie A,Midfielder,0.2,0.2,0.41,0.0,0.2,0.19,0.1,0.3,0.03,0.14,29,78,40
Theo Hernández,Milan,Serie A,Defender,0.13,0.1,0.23,0.13,0.23,0.09,0.16,0.25,0.06,0.22,93,132,148
Aridane Hernández,Rayo Vallecano,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,2,38,0
Javi Hernández,Leganés,La Liga,Defender,0.08,0.04,0.11,0.08,0.11,0.03,0.06,0.08,0.03,0.08,40,80,90
Jorge Herrando,Osasuna,La Liga,Defender,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08,7,38,1
Yangel Herrera,Girona,La Liga,Midfielder,0.16,0.12,0.28,0.16,0.28,0.14,0.06,0.2,0.14,0.2,31,110,99
Juan Herzog,Las Palmas,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,0,27,1
Son Heung-min,Tottenham,Premier League,Attacker,0.3,0.38,0.68,0.26,0.64,0.31,0.35,0.66,0.24,0.59,96,111,265
Isak Hien,Atalanta,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,7,51,3
Omar El Hilali,Espanyol,La Liga,Defender,0.0,0.06,0.06,0.0,0.06,0.0,0.02,0.02,0.0,0.02,35,84,61
Piero Hincapié,Leverkusen,Bundesliga,Defender,0.07,0.07,0.13,0.07,0.13,0.1,0.11,0.21,0.1,0.21,52,152,72
Jack Hinshelwood,Brighton,Premier League,Midfielder,0.24,0.1,0.34,0.24,0.34,0.13,0.07,0.21,0.13,0.21,19,68,54
Adam Hložek,Hoffenheim,Bundesliga,Attacker,0.38,0.19,0.58,0.38,0.58,0.27,0.17,0.44,0.27,0.44,54,68,102
Ki-Jana Hoever,Auxerre,Ligue 1,Defender,0.04,0.08,0.13,0.04,0.13,0.02,0.11,0.13,0.02,0.13,59,79,128
Philipp Hofmann,Bochum,Bundesliga,Attacker,0.12,0.12,0.24,0.12,0.24,0.22,0.13,0.35,0.22,0.35,8,53,112
Benedict Hollerbach,Union Berlin,Bundesliga,Attacker,0.32,0.04,0.35,0.32,0.35,0.25,0.06,0.31,0.25,0.31,103,68,214
Emil Holm,Bologna,Serie A,Defender,0.08,0.08,0.16,0.08,0.16,0.05,0.06,0.1,0.05,0.1,29,49,43
Lewis Holtby,Holstein Kiel,Bundesliga,Midfielder,0.0,0.07,0.07,0.0,0.07,0.04,0.11,0.15,0.04,0.15,14,47,34
Gerrit Holtmann,Bochum,Bundesliga,Defender,0.16,0.08,0.24,0.16,0.24,0.16,0.23,0.39,0.16,0.39,50,33,97
Franck Honorat,Gladbach,Bundesliga,Attacker,0.25,0.44,0.69,0.25,0.69,0.28,0.33,0.61,0.28,0.61,63,45,124
Mathias Honsak,Heidenheim,Bundesliga,Attacker,0.38,0.08,0.46,0.38,0.46,0.26,0.12,0.38,0.26,0.38,37,29,58
Callum Hudson-Odoi,Nott'ham Forest,Premier League,Attacker,0.21,0.08,0.29,0.21,0.29,0.1,0.11,0.21,0.1,0.21,130,71,189
Will Hughes,Crystal Palace,Premier League,Midfielder,0.0,0.13,0.13,0.0,0.13,0.05,0.13,0.18,0.05,0.18,20,87,27
Dean Huijsen,Bournemouth,Premier League,Defender,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14,41,132,10
Mats Hummels,Roma,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,4,26,1
Omari Hutchinson,Ipswich Town,Premier League,Midfielder,0.1,0.07,0.17,0.1,0.17,0.1,0.12,0.22,0.1,0.22,97,75,159
Lucas Höler,Freiburg,Bundesliga,Attacker,0.29,0.19,0.48,0.29,0.48,0.37,0.14,0.51,0.33,0.47,21,47,122
Pierre Højbjerg,Marseille,Ligue 1,Midfielder,0.07,0.14,0.2,0.07,0.2,0.11,0.13,0.24,0.11,0.24,36,263,43
Rasmus Højlund,Manchester Utd,Premier League,Attacker,0.18,0.0,0.18,0.18,0.18,0.24,0.08,0.32,0.24,0.32,28,18,101
Pablo Ibáñez,Osasuna,La Liga,Midfielder,0.07,0.07,0.14,0.07,0.14,0.11,0.11,0.22,0.11,0.22,21,51,31
Jay Idzes,Venezia,Serie A,Defender,0.03,0.0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07,15,84,15
Borja Iglesias,Celta Vigo,La Liga,Attacker,0.51,0.14,0.65,0.51,0.65,0.43,0.15,0.58,0.43,0.58,22,28,108
Iglesias,Getafe,La Liga,Defender,0.0,0.03,0.03,0.0,0.03,0.05,0.07,0.12,0.05,0.12,32,84,67
Igor,Brighton,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,9,49,1
Andrej Ilic,Union Berlin,Bundesliga,Attacker,0.67,0.0,0.67,0.58,0.58,0.47,0.03,0.5,0.39,0.42,5,13,59
Ivan Ilić,Torino,Serie A,Midfielder,0.1,0.0,0.1,0.1,0.1,0.09,0.11,0.2,0.09,0.2,24,45,41
Jackson Irvine,St. Pauli,Bundesliga,Midfielder,0.0,0.21,0.21,0.0,0.21,0.11,0.14,0.25,0.1,0.24,19,117,58
Alexander Isak,Newcastle Utd,Premier League,Attacker,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7,83,88,217
Gustav Isaksen,Lazio,Serie A,Attacker,0.16,0.08,0.24,0.16,0.24,0.21,0.09,0.3,0.21,0.3,95,46,249
Isco,Betis,La Liga,Midfielder,0.52,0.47,0.99,0.23,0.7,0.5,0.25,0.76,0.22,0.48,38,152,112
Ismaily,Lille,Ligue 1,Defender,0.0,0.1,0.1,0.0,0.1,0.07,0.1,0.17,0.07,0.17,15,54,51
Ardian Ismajli,Empoli,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,3,38,1
Ko Itakura,Gladbach,Bundesliga,Defender,0.1,0.0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,23,69,5
Junya Ito,Reims,Ligue 1,Attacker,0.13,0.1,0.23,0.13,0.23,0.16,0.24,0.39,0.16,0.39,100,133,256
Marko Ivezić,Holstein Kiel,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,3,40,9
Alex Iwobi,Fulham,Premier League,Attacker,0.27,0.18,0.45,0.27,0.45,0.14,0.21,0.36,0.14,0.36,144,213,246
Armando Izzo,Monza,Serie A,Defender,0.04,0.04,0.07,0.04,0.07,0.02,0.03,0.05,0.02,0.05,12,72,12
Nicolas Jackson,Chelsea,Premier League,Attacker,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,47,38,129
Jérémy Jacquet,Rennes,Ligue 1,Defender,0.0,0.1,0.1,0.0,0.1,0.08,0.08,0.16,0.08,0.16,8,40,4
Lee Jae-sung,Mainz 05,Bundesliga,Midfielder,0.24,0.2,0.44,0.24,0.44,0.18,0.17,0.35,0.18,0.35,28,105,165
Kristijan Jakić,Augsburg,Bundesliga,Midfielder,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,24,106,49
Reece James,Chelsea,Premier League,Defender,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.1,0.04,0.1,7,64,12
Jordan James,Rennes,Ligue 1,Midfielder,0.0,0.08,0.08,0.0,0.08,0.07,0.15,0.21,0.07,0.21,21,67,15
Vitaly Janelt,Brentford,Premier League,Midfielder,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,17,80,38
Mikel Jauregizar,Athletic Club,La Liga,Midfielder,0.08,0.04,0.12,0.08,0.12,0.04,0.06,0.1,0.04,0.1,14,118,31
Gaby Jean,Lecce,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,8,42,3
Moritz Jenz,Mainz 05,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,1,47,3
Juan Jesus,Napoli,Serie A,Defender,0.0,0.08,0.08,0.0,0.08,0.03,0.0,0.03,0.03,0.03,3,50,2
Álex Jiménez,Milan,Serie A,Defender,0.0,0.07,0.07,0.0,0.07,0.06,0.09,0.15,0.06,0.15,55,37,72
Raúl Jiménez,Fulham,Premier League,Attacker,0.43,0.11,0.54,0.32,0.43,0.43,0.12,0.55,0.35,0.47,35,62,125
Joelinton,Newcastle Utd,Premier League,Midfielder,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,40,116,110
Jofre,Espanyol,La Liga,Midfielder,0.12,0.12,0.25,0.12,0.25,0.11,0.1,0.21,0.11,0.21,65,48,156
Ben Johnson,Ipswich Town,Premier League,Defender,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,16,27,33
Brennan Johnson,Tottenham,Premier League,Attacker,0.45,0.12,0.58,0.45,0.58,0.43,0.09,0.52,0.43,0.52,60,71,197
Paul Joly,Auxerre,Ligue 1,Defender,0.0,0.09,0.09,0.0,0.09,0.05,0.12,0.17,0.05,0.17,28,51,61
Curtis Jones,Liverpool,Premier League,Midfielder,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,30,117,79
Frenkie de Jong,Barcelona,La Liga,Midfielder,0.16,0.16,0.31,0.16,0.31,0.05,0.16,0.21,0.05,0.21,36,120,24
Joan Jordán,Alavés,La Liga,Midfielder,0.32,0.13,0.45,0.13,0.25,0.3,0.15,0.45,0.1,0.25,7,104,35
Diogo Jota,Liverpool,Premier League,Attacker,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,37,34,88
Antoine Joujou,Le Havre,Ligue 1,Midfielder,0.0,0.19,0.19,0.0,0.19,0.06,0.29,0.35,0.06,0.35,44,18,85
Cristian Cásseres Jr.,Toulouse,Ligue 1,Midfielder,0.03,0.1,0.13,0.03,0.13,0.03,0.09,0.12,0.03,0.12,31,128,46
Jubal,Auxerre,Ligue 1,Defender,0.2,0.0,0.2,0.1,0.1,0.18,0.03,0.21,0.07,0.1,1,33,3
Anthony Jung,Werder Bremen,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,121,6
Josip Juranović,Union Berlin,Bundesliga,Defender,0.0,0.08,0.08,0.0,0.08,0.02,0.14,0.16,0.02,0.16,19,52,45
Stanko Jurić,Valladolid,La Liga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,5,57,8
James Justin,Leicester City,Premier League,Defender,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07,39,91,96
Vinicius Júnior,Real Madrid,La Liga,Attacker,0.44,0.32,0.76,0.36,0.68,0.41,0.32,0.73,0.33,0.65,169,85,256
Christian Kabasele,Udinese,Serie A,Defender,0.16,0.0,0.16,0.16,0.16,0.12,0.03,0.14,0.12,0.14,9,44,7
Pavel Kadeřábek,Hoffenheim,Bundesliga,Defender,0.11,0.0,0.11,0.11,0.11,0.04,0.11,0.16,0.04,0.16,15,47,86
Arnaud Kalimuendo,Rennes,Ligue 1,Attacker,0.59,0.1,0.7,0.42,0.52,0.52,0.07,0.59,0.31,0.38,50,72,167
Pierre Kalulu,Juventus,Serie A,Defender,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,48,117,24
Daichi Kamada,Crystal Palace,Premier League,Midfielder,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.17,0.06,0.17,25,89,56
Warren Kamanzi,Toulouse,Ligue 1,Defender,0.09,0.09,0.18,0.09,0.18,0.11,0.08,0.2,0.11,0.2,29,33,62
Boubacar Kamara,Aston Villa,Premier League,Midfielder,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,19,85,7
Hassane Kamara,Udinese,Serie A,Defender,0.04,0.18,0.22,0.04,0.22,0.04,0.12,0.16,0.04,0.16,52,61,103
Willy Kambwala,Villarreal,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,2,16,0
Jakub Kamiński,Wolfsburg,Bundesliga,Defender,0.0,0.16,0.16,0.0,0.16,0.07,0.26,0.34,0.07,0.34,41,40,69
Kevin Kampl,RB Leipzig,Bundesliga,Midfielder,0.06,0.0,0.06,0.06,0.06,0.05,0.08,0.13,0.05,0.13,21,106,32
Harry Kane,Bayern Munich,Bundesliga,Attacker,0.98,0.34,1.32,0.64,0.98,0.77,0.2,0.97,0.5,0.7,29,97,143
Lee Kang-in,Paris S-G,Ligue 1,Attacker,0.32,0.32,0.65,0.32,0.65,0.19,0.3,0.5,0.19,0.5,50,143,139
Yann Karamoh,Torino,Serie A,Midfielder,0.0,0.09,0.09,0.0,0.09,0.11,0.08,0.18,0.11,0.18,37,28,80
Jesper Karlström,Udinese,Serie A,Midfielder,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.05,0.02,0.05,23,135,46
Moise Kean,Fiorentina,Serie A,Attacker,0.63,0.1,0.73,0.6,0.7,0.65,0.06,0.71,0.59,0.66,42,26,143
Michael Keane,Everton,Premier League,Defender,0.26,0.0,0.26,0.26,0.26,0.05,0.01,0.06,0.05,0.06,1,14,3
Yassine Kechta,Le Havre,Ligue 1,Midfielder,0.09,0.0,0.09,0.09,0.09,0.11,0.05,0.16,0.11,0.16,44,97,85
Thilo Kehrer,Monaco,Ligue 1,Defender,0.15,0.0,0.15,0.15,0.15,0.06,0.01,0.07,0.06,0.07,16,139,2
Mandela Keita,Parma,Serie A,Midfielder,0.0,0.1,0.1,0.0,0.1,0.01,0.05,0.06,0.01,0.06,13,50,5
Lloyd Kelly,Juventus,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,10,36,26
Aljoscha Kemlein,Union Berlin,Bundesliga,Midfielder,0.1,0.0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15,5,42,19
Marc-Oliver Kempf,Como,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,17,85,4
Milos Kerkez,Bournemouth,Premier League,Defender,0.05,0.13,0.19,0.05,0.19,0.02,0.1,0.12,0.01,0.12,106,159,197
Charles De Ketelaere,Atalanta,Serie A,Midfielder,0.3,0.3,0.61,0.3,0.61,0.32,0.26,0.57,0.32,0.57,108,140,211
Bilal El Khannouss,Leicester City,Premier League,Midfielder,0.08,0.12,0.21,0.08,0.21,0.05,0.19,0.24,0.05,0.24,73,128,89
Wahbi Khazri,Montpellier,Ligue 1,Attacker,0.08,0.08,0.16,0.08,0.16,0.19,0.18,0.37,0.19,0.37,24,33,53
Rani Khedira,Union Berlin,Bundesliga,Midfielder,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,12,80,34
Abdukodir Khusanov,Lens,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2,43,6
Kialonda,Lecce,Serie A,Defender,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,4,34,5
Kiké,Alavés,La Liga,Attacker,0.46,0.0,0.46,0.35,0.35,0.34,0.03,0.37,0.26,0.29,25,50,158
Max Kilman,West Ham,Premier League,Defender,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.08,0.04,0.08,31,113,6
Joshua Kimmich,Bayern Munich,Bundesliga,Midfielder,0.09,0.22,0.32,0.09,0.32,0.06,0.24,0.29,0.06,0.29,51,362,77
Joshua King,Toulouse,Ligue 1,Attacker,0.32,0.16,0.48,0.32,0.48,0.36,0.11,0.47,0.36,0.47,39,29,108
Etienne Youte Kinkoue,Le Havre,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,12,63,4
Cédric Kipré,Reims,Ligue 1,Defender,0.0,0.04,0.04,0.0,0.04,0.03,0.06,0.08,0.03,0.08,16,77,3
Jakub Kiwior,Arsenal,Premier League,Defender,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,5,48,1
Tim Kleindienst,Gladbach,Bundesliga,Attacker,0.53,0.23,0.76,0.49,0.72,0.45,0.2,0.65,0.39,0.59,45,63,145
Lukas Klostermann,RB Leipzig,Bundesliga,Defender,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.02,0.02,0.02,16,83,26
Justin Kluivert,Bournemouth,Premier League,Midfielder,0.46,0.23,0.69,0.23,0.46,0.4,0.19,0.58,0.22,0.4,81,105,173
Ansgar Knauff,Eint Frankfurt,Bundesliga,Midfielder,0.23,0.28,0.51,0.23,0.51,0.28,0.29,0.57,0.28,0.57,53,58,146
Magnus Knudsen,Holstein Kiel,Bundesliga,Midfielder,0.0,0.05,0.05,0.0,0.05,0.03,0.06,0.1,0.03,0.1,16,54,25
Robin Koch,Eint Frankfurt,Bundesliga,Defender,0.1,0.0,0.1,0.1,0.1,0.06,0.01,0.07,0.06,0.07,9,93,4
Dominik Kohr,Mainz 05,Bundesliga,Defender,0.08,0.0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08,26,101,31
Koke,Atlético Madrid,La Liga,Midfielder,0.05,0.05,0.09,0.05,0.09,0.05,0.07,0.12,0.05,0.12,22,132,18
Sead Kolašinac,Atalanta,Serie A,Defender,0.0,0.09,0.09,0.0,0.09,0.04,0.09,0.12,0.04,0.12,52,142,47
Marco Komenda,Holstein Kiel,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.06,0.01,0.06,13,53,16
Ibrahima Konaté,Liverpool,Premier League,Defender,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,25,115,3
Geoffrey Kondogbia,Marseille,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,20,105,11
Ezri Konsa,Aston Villa,Premier League,Defender,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,24,90,11
Manu Koné,Roma,Serie A,Midfielder,0.07,0.03,0.1,0.07,0.1,0.12,0.06,0.18,0.12,0.18,70,144,50
