Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Guela Doué,Strasbourg,Ligue 1,Defender,0.03,0.07,0.1,0.03,0.1,0.03,0.02,0.05,0.03,0.05,51,173,54
Désiré Doué,Paris S-G,Ligue 1,Attacker,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67,97,139,232
Artem Dovbyk,Roma,Serie A,Attacker,0.45,0.07,0.52,0.37,0.45,0.44,0.09,0.53,0.38,0.47,24,16,175
Flynn Downes,Southampton,Premier League,Midfielder,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,29,66,29
Radu Drăgușin,Tottenham,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,7,37,2
Domingos Duarte,Getafe,La Liga,Defender,0.05,0.0,0.05,0.05,0.05,0.01,0.0,0.01,0.01,0.01,3,47,3
Marvin Ducksch,Werder Bremen,Bundesliga,Attacker,0.3,0.3,0.6,0.26,0.56,0.38,0.31,0.69,0.32,0.63,26,86,166
Ondrej Duda,Hellas Verona,Serie A,Midfielder,0.04,0.11,0.15,0.04,0.15,0.04,0.12,0.16,0.04,0.16,23,117,26
Denzel Dumfries,Inter,Serie A,Defender,0.32,0.09,0.41,0.32,0.41,0.25,0.15,0.4,0.25,0.4,55,51,173
Alfred Duncan,Venezia,Serie A,Midfielder,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.18,0.07,0.18,11,53,12
Lewis Dunk,Brighton,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,20,142,3
Hugo Duro,Valencia,La Liga,Attacker,0.46,0.08,0.54,0.42,0.5,0.39,0.05,0.44,0.36,0.41,13,28,88
Pablo Durán,Celta Vigo,La Liga,Attacker,0.26,0.26,0.52,0.26,0.52,0.24,0.18,0.42,0.24,0.42,24,30,124
Paulo Dybala,Roma,Serie A,Attacker,0.38,0.19,0.57,0.19,0.38,0.4,0.32,0.72,0.25,0.57,41,79,122
Bence Dárdai,Wolfsburg,Bundesliga,Midfielder,0.07,0.07,0.14,0.07,0.14,0.07,0.07,0.14,0.07,0.14,5,39,24
Brahim Díaz,Real Madrid,La Liga,Attacker,0.26,0.13,0.39,0.26,0.39,0.34,0.22,0.56,0.34,0.56,39,74,110
Luis Díaz,Liverpool,Premier League,Attacker,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,108,110,293
Pedro Díaz,Rayo Vallecano,La Liga,Midfielder,0.22,0.0,0.22,0.22,0.22,0.18,0.16,0.33,0.12,0.27,27,62,49
Aron Dønnum,Toulouse,Ligue 1,Defender,0.07,0.07,0.13,0.07,0.13,0.07,0.15,0.22,0.07,0.22,94,126,142
Valentin Atangana Edoa,Reims,Ligue 1,Midfielder,0.03,0.0,0.03,0.03,0.03,0.08,0.03,0.11,0.08,0.11,41,93,38
Johannes Eggestein,St. Pauli,Bundesliga,Attacker,0.15,0.19,0.34,0.1,0.29,0.23,0.1,0.33,0.15,0.25,25,43,138
Maximilian Eggestein,Freiburg,Bundesliga,Midfielder,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11,34,141,41
Kingsley Ehizibue,Udinese,Serie A,Defender,0.0,0.04,0.04,0.0,0.04,0.04,0.08,0.12,0.04,0.12,54,55,116
Chidera Ejuke,Sevilla,La Liga,Attacker,0.19,0.09,0.28,0.19,0.28,0.1,0.17,0.28,0.1,0.28,75,38,101
Hugo Ekitike,Eint Frankfurt,Bundesliga,Attacker,0.53,0.28,0.81,0.49,0.77,0.76,0.24,0.99,0.68,0.91,93,53,215
Jurgen Ekkelenkamp,Udinese,Serie A,Midfielder,0.14,0.1,0.24,0.14,0.24,0.13,0.06,0.19,0.13,0.19,34,72,86
Anthony Elanga,Nott'ham Forest,Premier League,Attacker,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36,102,63,229
